episode,lab,task,verdict,detail
2025-09-20-18-39-18-000000.zarr,aria,fold_clothes,DROP,left:rotation_rate;right:rotation_rate
2025-09-23-22-43-03-000000.zarr,aria,fold_clothes,DROP,right:rotation_rate
2025-10-12-01-39-44-736000.zarr,aria,fold_clothes,DROP,left:rotation_rate;right:rotation_rate
2025-10-29-21-54-36-220000.zarr,aria,fold_clothes,DROP,left:rotation_rate;right:rotation_rate
2025-10-29-22-01-54-609000.zarr,aria,fold_clothes,DROP,right:rotation_rate
2025-10-29-22-04-09-107000.zarr,aria,fold_clothes,DROP,left:rotation_rate;right:rotation_rate
2025-10-29-22-05-17-810000.zarr,aria,fold_clothes,DROP,right:rotation_rate
2025-10-29-22-05-17-839000.zarr,aria,fold_clothes,DROP,right:rotation_rate
2025-10-29-22-06-00-408000.zarr,aria,fold_clothes,DROP,right:rotation_rate
2025-11-22-23-48-44-123000.zarr,aria,fold_clothes,DROP,left:min_length;left:finite;left:frozen;left:quaternion;left:teleport;left:rotation_rate;right:min_length;right:finite;right:frozen;right:quaternion;right:teleport;right:rotation_rate
2025-11-26-01-20-49-131000.zarr,aria,object_in_container_indomain,DROP,right:rotation_rate
2025-11-27-22-58-01-348000.zarr,aria,cup_on_saucer,DROP,left:rotation_rate
2025-11-27-23-23-20-540000.zarr,aria,cup_on_saucer,DROP,left:rotation_rate;right:rotation_rate
2025-12-17-00-13-29-213000.zarr,aria,sort_utensils,DROP,left:teleport;left:rotation_rate
2025-12-17-08-06-08-930000.zarr,aria,scoop_granular,DROP,right:rotation_rate
2026-01-06-21-59-06-009000.zarr,aria,object_in_container,DROP,right:rotation_rate
2026-01-20-01-38-04-832000.zarr,aria,cup_on_saucer,DROP,right:rotation_rate
2026-01-20-21-28-19-470000.zarr,aria,fold_clothes,DROP,right:rotation_rate
2026-03-08-20-30-24-000000.zarr,aria,cup_on_saucer_success,DROP,left:rotation_rate
2026-04-30-21-55-32-000000.zarr,aria,bag_groceries_success,DROP,left:rotation_rate;right:rotation_rate
2026-05-05-18-46-06-000000.zarr,aria,cup_on_saucer_static_cam,DROP,right:rotation_rate
691a2dc1184bf01d5885f3fa.zarr,mecka,,DROP,no_pose_streams
691a65155d32a0987fa9e912.zarr,mecka,,DROP,no_pose_streams
691de8c74bf6379c6da92a86.zarr,mecka,,DROP,no_pose_streams
691e1588a745264e32cac3a6.zarr,mecka,,DROP,left:quaternion
691eb9272d0014b4f40ac374.zarr,mecka,,DROP,no_pose_streams
69243bece90d10010e1cf55b.zarr,mecka,,DROP,no_pose_streams
69252355a6e39283a6e040b2.zarr,mecka,,DROP,left:quaternion
692547dbf6f836bffb56b8d7.zarr,mecka,,DROP,left:quaternion
692bb2c375c56888167ae43d.zarr,mecka,,DROP,no_pose_streams
692bc0eccf14ffb7ec0a8dc4.zarr,mecka,,DROP,left:quaternion;right:teleport;right:rotation_rate
692e18ef881e8a9e1cab3155.zarr,mecka,,DROP,no_pose_streams
692e690daec602a46af0ff21.zarr,mecka,,DROP,left:frozen;left:quaternion
692e690faec602a46af0ff33.zarr,mecka,,DROP,left:frozen;left:quaternion
692e690faec602a46af0ff38.zarr,mecka,,DROP,left:frozen;left:quaternion
692e693092a31767e35d9c0f.zarr,mecka,,DROP,left:frozen;left:quaternion
692e69eb6974927fef249868.zarr,mecka,,DROP,left:frozen;left:quaternion
692e69ed6974927fef24987a.zarr,mecka,,DROP,left:frozen;left:quaternion
692e6af096d2056439f01148.zarr,mecka,,DROP,left:frozen;left:quaternion
692e6b5f567c97525f400fcc.zarr,mecka,,DROP,left:frozen;left:quaternion
692e6b9992a31767e35d9c42.zarr,mecka,,DROP,left:frozen;left:quaternion;right:rotation_rate
692e6c1892a31767e35d9c90.zarr,mecka,,DROP,left:frozen;left:quaternion
2026-03-25-12-23-38-524857.zarr,microagi,prepare_chocolate_cake_layers,DROP,left:rotation_rate
2026-03-26-10-18-53-206284.zarr,microagi,prepare_sauce,DROP,left:rotation_rate
2026-03-26-11-31-09-425391.zarr,microagi,wash_baking_tray,DROP,right:rotation_rate
2026-03-26-12-29-03-618588.zarr,microagi,Laminate_QR_code_sheet,DROP,left:rotation_rate
2026-03-26-14-47-23-601219.zarr,microagi,wash_dishes,DROP,left:rotation_rate
2026-03-26-17-50-16-108066.zarr,microagi,wash_container,DROP,left:rotation_rate;right:rotation_rate
2026-03-26-18-37-19-685731.zarr,microagi,wash_dishes,DROP,left:rotation_rate
2026-03-27-12-16-04-154105.zarr,microagi,tidy_living_room,DROP,left:rotation_rate
2026-03-27-14-22-49-656921.zarr,microagi,clean_kitchen,DROP,right:rotation_rate
2026-03-27-14-35-46-574663.zarr,microagi,wash_dishes,DROP,left:rotation_rate
2026-03-27-23-45-28-913977.zarr,microagi,make_clay_balls,DROP,left:rotation_rate
2026-03-28-07-47-45-379392.zarr,microagi,clean_dishes,DROP,left:rotation_rate;right:rotation_rate
2026-03-28-08-26-48-566416.zarr,microagi,fold_clothes,DROP,right:rotation_rate
2026-03-28-08-55-54-958131.zarr,microagi,prepare_bread_dough,DROP,left:rotation_rate
2026-05-01-03-22-49-354804.zarr,scale,flagship_put_object_in_container,DROP,left:frozen
2026-05-01-04-21-53-924389.zarr,scale,flagship_sort_utensils,DROP,left:frozen
2026-05-01-05-38-42-362308.zarr,scale,flagship_put_object_in_container,DROP,left:frozen
2026-05-01-06-44-31-809386.zarr,scale,flagship_put_object_in_container,DROP,left:frozen;right:rotation_rate
2026-05-01-06-47-00-470379.zarr,scale,flagship_put_object_in_container,DROP,left:frozen
2026-05-01-12-12-03-174394.zarr,scale,flagship_put_object_in_container,DROP,left:frozen
2026-05-01-12-49-07-453491.zarr,scale,flagship_sort_utensils,DROP,left:frozen
2025-10-13-17-53-08-337000.zarr,aria,fold_clothes,KEEP,greedy_rank=1
2025-10-13-17-53-37-475000.zarr,aria,fold_clothes,KEEP,greedy_rank=38
2025-10-29-22-05-17-818000.zarr,aria,fold_clothes,KEEP,greedy_rank=108
2025-11-11-22-48-53-224000.zarr,aria,fold_clothes,KEEP,greedy_rank=106
2025-11-11-22-49-33-824000.zarr,aria,fold_clothes,KEEP,greedy_rank=51
2025-11-11-22-53-12-397000.zarr,aria,fold_clothes,KEEP,greedy_rank=84
2025-11-11-22-59-20-286000.zarr,aria,fold_clothes,KEEP,greedy_rank=121
2025-11-24-19-44-11-444000.zarr,aria,cup_on_saucer,KEEP,greedy_rank=86
